activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001423700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,2,2,205000.0,23.83000,6.000,-0.191,2,526.05,NA,395.00,,,84,NA,NA,2,2,2,2,2415000,1,1,3,5,1,NA,247,42,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,65-74,>74,Yes,Yes,1,1,6,,,,,10,,,,4234,39.99,155700,203,484,849,0
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001410000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,4,0,2,1,2,2,2,2,2,185000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,227,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3031,68.56,155700,103,1054,1189,64
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001436403,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,1205000.0,71.00000,6.300,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,1,1,2,1705000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,4282,75.64,155700,90,544,1157,50
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001410000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,185000.0,58.63000,9.750,1.590,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1475000,1,1,3,5,1,NA,252,30%-<36%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3031,68.56,155700,103,1054,1189,64
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001400900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,2,0,2,1,32,1,2,2,1,335000.0,44.72000,7.875,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,735000,1,3,3,5,2,NA,64,30%-<36%,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,1,,,,,10,,,,2514,59.31,155700,75,401,1067,0
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001407900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,135000.0,64.37000,8.750,0.610,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1165000,1,1,3,5,1,NA,326,<20%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,3081,62.54,155700,118,877,1292,77
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001450300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,4,2,2,2,2,65000.0,67.72000,6.500,0.199,2,497.60,NA,395.00,,,84,NA,NA,2,2,2,2,1205000,1,1,3,5,1,NA,233,20%-<30%,2,10,2,,,,,5,,,,,2,4,2,23,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,5548,58.51,155700,104,1105,1402,46
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001451403,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,3,0,2,1,4,2,2,2,2,105000.0,47.81000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,1005000,1,1,3,5,1,NA,88,50%-60%,2,10,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,2175,45.47,155700,118,653,799,54
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001438000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,32,2,2,1,2,255000.0,45.92000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,975000,1,1,3,5,1,NA,167,30%-<36%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,45-54,No,No,1,1,6,,,,,9,,,,3409,76.27,155700,92,685,919,61
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001436900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,185000.0,52.13000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,805000,1,1,3,5,1,NA,62,>60%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,7099,91.36,155700,60,833,1432,61
